ind	var	type	feature_posi	min_40	max_60	min_25	max_75	median	min_10	max_90	mean
P. echinospica	meth_depth	exon	37	0.730345213333333	0.8579626	0.0909091	0.893111333333333	0.830923666666667	0.05161148	0.928529383333333	0.612737331101409
P. echinospica	meth_depth	exon	38	0.73144934	0.841494433333333	0.153846	0.896276	0.824107125	0.0385779714285714	0.94721794	0.616160033321668
P. echinospica	meth_depth	exon	39	0.7926978	0.858283	0.156941383333333	0.88777885	0.845333413636364	0.0469984125	0.93562435	0.623929893690151
P. echinospica	meth_depth	exon	40	0.754444333333333	0.864480153846154	0.1136989	0.905181234848485	0.821429	0.0357143	0.939359857142857	0.617741671897117
P. echinospica	meth_depth	exon	41	0.70823189047619	0.8228313	0.116375183333333	0.87806375	0.741428666666667	0.04436869	0.953058995959596	0.597887637005825
P. echinospica	meth_depth	exon	42	0.648739791666667	0.81782204	0.0805424	0.8606334	0.754452888888889	0.0434050633333333	0.942415615384615	0.553816682471827
P. echinospica	meth_depth	exon	43	0.705882	0.832228857142857	0.1	0.8966292	0.8050075	0.0487805	0.943626333333333	0.581597735135789
P. echinospica	meth_depth	exon	44	0.59020024	0.8328295	0.1088235	0.876060082142857	0.779999692307692	0.0645515866666667	0.948200171428571	0.567984477779136
P. echinospica	meth_depth	exon	45	0.664408766666667	0.817098825	0.08619685625	0.877305946428571	0.796703428571429	0.053480501	0.914315372222222	0.573969248903319
P. echinospica	meth_depth	exon	46	0.7144275	0.8262985	0.09441925	0.867573	0.772366076923077	0.04444448	0.915029923809524	0.563250412393208
P. echinospica	meth_depth	exon	47	0.114428792	0.805177	0.085869475	0.867239	0.6666606	0.0390769	0.91600762	0.492389043560091
P. echinospica	meth_depth	exon	48	0.25	0.821685	0.07632275	0.855322931818182	0.689394	0.060574	0.8820345	0.504144867332828
P. echinospica	meth_depth	exon	49	0.327059	0.800860266666667	0.072802225	0.830867520053476	0.683337166666667	0.0560690042857143	0.896949323076923	0.513018143253126
P. echinospica	meth_depth	exon	50	0.71188605	0.858487025	0.05377435	0.895949285714286	0.7912613625	0.04047781	0.932236627777778	0.562481538823445
