TSS_idx	binary_idx	binary_mRNA_count	variable	window_meth_freq_50	window_freq_quantiles_min	window_freq_quantiles_max	window_CpGoe_50	window_CpGoe_quantiles_min	window_CpGoe_quantiles_max	group	genome
-43	NA1	NA	50	0.7371049815	0.35580219375	0.8533755382	0.5057665	0.306252	0.716006	0	Pec
-43	NA1	NA	80	0.7371049815	0.026883471767	0.90434140844	0.5057665	0.1113012	0.9608705	0	Pec
-43	NANA	NA	20	0.04242135281	0.031831766666	0.06951049	0.713059	0.6159634	0.79336	0	Pec
-43	NANA	NA	50	0.04242135281	0.021269600455	0.64149046875	0.713059	0.4243005	0.958001	0	Pec
-43	NANA	NA	80	0.04242135281	0.011794686648	0.83056380808	0.713059	0.2657639	1.209103	0	Pec
-42	00	NA	20	0.02893992222	0.024792926756	0.033902355574	0.887916	0.7967258	0.96761	1	Pec
-42	00	NA	50	0.02893992222	0.01887200882	0.04647868667	0.887916	0.637451	1.08725	1	Pec
-42	00	NA	80	0.02893992222	0.011923454016	0.396734604	0.887916	0.42833	1.256864	1	Pec
-42	01	NA	20	0.460803076	0.062141643846	0.69834586842	0.6537905	0.56535	0.763876	0	Pec
-42	01	NA	50	0.460803076	0.02894204902	0.83688271155	0.6537905	0.4413935	0.9570975	0	Pec
-42	01	NA	80	0.460803076	0.016248397613	0.90051623	0.6537905	0.3021438	1.176223	0	Pec
-42	0NA	NA	20	0.03072529939	0.027129317736	0.038684322048	0.8057425	0.6958498	0.9017668	0	Pec
-42	0NA	NA	50	0.03072529939	0.0196599392625	0.0623853881475	0.8057425	0.492641	1.0585175	0	Pec
-42	0NA	NA	80	0.03072529939	0.0101268088067	0.485222602870001	0.8057425	0.2603739	1.217336	0	Pec
-42	10	NA	20	0.73260517935	0.63625191428	0.79668938958	0.53918	0.485874	0.6048554	0	Pec
-42	10	NA	50	0.73260517935	0.451786371975	0.865501464275	0.53918	0.38241125	0.78199125	0	Pec
-42	10	NA	80	0.73260517935	0.040775149369	0.91018169315	0.53918	0.2757028	1.029782	0	Pec
-42	11	NA	20	0.7856005556	0.7275638814	0.82770099812	0.531777	0.4654956	0.602943	1	Pec
-42	11	NA	50	0.7856005556	0.5770307143	0.873937	0.531777	0.367272	0.754088	1	Pec
-42	11	NA	80	0.7856005556	0.060796544872	0.916667	0.531777	0.23271	0.9970324	1	Pec
-42	1NA	NA	20	0.7611326	0.6929275818	0.82659977716	0.51198	0.4677274	0.5754412	0	Pec
-42	1NA	NA	50	0.7611326	0.46552846665	0.8828435165	0.51198	0.357751	0.7784155	0	Pec
-42	1NA	NA	80	0.7611326	0.054131523202	0.92123911596	0.51198	0.1660176	1.0065684	0	Pec
-42	NA0	NA	20	0.028132694035	0.022209392966	0.03659393282	0.8040985	0.7166846	0.9231092	0	Pec
-42	NA0	NA	50	0.028132694035	0.0141355002875	0.0583591355075	0.8040985	0.473134	1.072255	0	Pec
-42	NA0	NA	80	0.028132694035	0.0075478567002	0.53137935426	0.8040985	0.1607997	1.248407	0	Pec
-42	NA1	NA	20	0.7207354706	0.60048374858	0.77782175554	0.5259355	0.4490854	0.6068144	0	Pec
-42	NA1	NA	50	0.7207354706	0.3031409531	0.8435658095	0.5259355	0.32045625	0.739012	0	Pec
-42	NA1	NA	80	0.7207354706	0.026093496512	0.90529327535	0.5259355	0.1130849	0.9400411	0	Pec
-42	NANA	NA	20	0.04253507332	0.03203645527	0.061359190126	0.712736	0.6151648	0.8213012	0	Pec
-42	NANA	NA	50	0.04253507332	0.01903392093	0.625614328125	0.712736	0.43560625	0.98033025	0	Pec
-42	NANA	NA	80	0.04253507332	0.011461745713	0.81438687333	0.712736	0.2486564	1.208335	0	Pec
-41	00	NA	20	0.02882587375	0.024685821464	0.033805280852	0.8900085	0.7950308	0.967624	1	Pec
-41	00	NA	50	0.02882587375	0.018711599305	0.04665532516	0.8900085	0.63688925	1.0879025	1	Pec
-41	00	NA	80	0.02882587375	0.011719546951	0.394057050020003	0.8900085	0.429732	1.250771	1	Pec
-41	01	NA	20	0.44822185	0.062044967836	0.69474953792	0.662622	0.5682556	0.7670664	0	Pec
-41	01	NA	50	0.44822185	0.02917726897	0.8357603333	0.662622	0.441783	0.948816	0	Pec
