mean_binary_idx	mRNA
11	PE_Scaf10440_0.3
00	PE_Scaf10440_1.3
00	PE_Scaf10440_1.7
01	PE_Scaf10440_2.3
11	PE_Scaf10441_0.1
11	PE_Scaf10441_0.2
00	PE_Scaf10443_0.5
NA1	PE_Scaf10447_0.2
01	PE_Scaf10454_0.2
11	PE_Scaf10454_0.7
00	PE_Scaf10455_0.5
00	PE_Scaf10458_0.2
00	PE_Scaf1046_0.4
00	PE_Scaf1046_0.8
01	PE_Scaf10460_0.0
1NA	PE_Scaf10462_0.0
NA1	PE_Scaf10462_0.4
11	PE_Scaf10464_2.4
NANA	PE_Scaf10464_3.0
NA0	PE_Scaf10464_3.1
11	PE_Scaf10464_3.11
