"orth_id"	"L1"	"meth"
"4551"	"Pec..R07B"	"methylated_gene-body"
"1568"	"Pec..R07B"	"methylated_gene-body"
"1380"	"Pec..R07B"	"methylated_gene-body"
"3951"	"Pec..R07B"	"methylated_gene-body"
"2634"	"Pec..R07B"	"methylated_gene-body"
"535"	"Pec..R07B"	"methylated_gene-body"
"4981"	"Pec..R07B"	"methylated_gene-body"
"3100"	"Pec..R07B"	"methylated_gene-body"
"461"	"Pec..R07B"	"methylated_gene-body"
"4362"	"Pec..R07B"	"methylated_gene-body"
"4637"	"Pec..R07B"	"methylated_gene-body"
"1577"	"Pec..R07B"	"methylated_gene-body"
"4069"	"Pec..R07B"	"methylated_gene-body"
