mean_binary_idx	mRNA
00	augustus_masked-ctg133_pilon-processed-gene-5.73-mRNA-1
00	augustus_masked-ctg133_pilon-processed-gene-5.74-mRNA-1
00	augustus_masked-ctg133_pilon-processed-gene-5.75-mRNA-1
00	augustus_masked-ctg133_pilon-processed-gene-5.76-mRNA-1
00	augustus_masked-ctg133_pilon-processed-gene-5.87-mRNA-1
00	augustus_masked-ctg1334_pilon-processed-gene-0.112-mRNA-1
00	augustus_masked-ctg1335_pilon-processed-gene-0.37-mRNA-1
00	augustus_masked-ctg1335_pilon-processed-gene-0.46-mRNA-1
00	augustus_masked-ctg1337_pilon-processed-gene-0.1-mRNA-1
00	augustus_masked-ctg134_pilon-processed-gene-3.9-mRNA-1
00	augustus_masked-ctg134_pilon-processed-gene-5.17-mRNA-1
00	augustus_masked-ctg134_pilon-processed-gene-5.53-mRNA-1
00	augustus_masked-ctg1340_pilon-processed-gene-0.11-mRNA-1
00	augustus_masked-ctg1340_pilon-processed-gene-0.12-mRNA-1
00	augustus_masked-ctg1341_pilon-processed-gene-0.2-mRNA-1
00	augustus_masked-ctg1344_pilon-processed-gene-0.48-mRNA-1
00	augustus_masked-ctg1345_pilon-processed-gene-0.32-mRNA-1
00	augustus_masked-ctg1346_pilon-processed-gene-0.8-mRNA-1
00	augustus_masked-ctg1348_pilon-processed-gene-0.28-mRNA-1
00	augustus_masked-ctg135_pilon-processed-gene-0.5-mRNA-1
00	augustus_masked-ctg1350_pilon-processed-gene-0.12-mRNA-1
00	augustus_masked-ctg1357_pilon-processed-gene-0.1-mRNA-1
